sex,age,address,famsize,Pstatus,Medu,Fedu,studytime,failures,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,dalc,walc,health,absences,G1,G2,G3,G3_label
1,19,1,1,1,2,2,3,0,1,0,1,0,1,1,1,4,4,3,2,4,4,23,16,13,14,1
0,21,0,0,1,2,0,3,0,0,0,1,1,1,1,0,2,1,5,2,3,5,1,12,16,13,1
1,21,0,0,0,3,4,2,0,0,0,1,0,1,1,1,2,1,3,5,4,4,14,11,18,14,1
1,19,0,0,1,4,4,1,1,0,1,1,0,1,0,0,1,4,2,2,1,3,11,6,8,3,0
1,20,0,1,1,3,3,4,0,1,1,0,1,1,1,0,3,2,1,2,3,5,29,15,10,12,1
0,19,1,1,1,1,3,2,0,1,0,0,0,1,1,1,5,5,2,3,3,2,26,19,16,14,1
1,21,0,1,1,3,3,4,1,0,1,1,1,0,0,0,1,5,5,2,2,5,6,13,9,10,1
1,17,1,0,0,0,0,4,0,1,0,0,0,1,0,0,5,2,3,1,4,1,19,17,16,16,1
1,18,0,1,1,1,0,1,0,0,1,1,1,0,1,1,2,1,2,4,4,1,17,11,19,11,1
0,16,1,0,0,1,2,3,0,1,0,0,0,1,1,1,5,4,2,3,2,4,22,16,5,9,0
1,17,0,0,1,4,3,1,0,1,0,0,0,1,1,1,3,5,5,2,5,5,12,15,10,10,1
1,19,1,1,1,2,4,4,0,0,0,0,0,0,1,0,1,4,1,1,1,2,16,19,13,15,1
1,20,1,0,0,1,1,2,0,1,1,0,0,1,0,1,3,2,2,4,4,1,3,10,19,11,1
1,15,0,1,1,2,2,4,2,1,1,0,1,1,0,0,3,4,5,3,2,2,24,13,19,13,1
0,19,0,1,0,3,0,2,0,0,0,0,1,1,0,0,1,2,1,1,3,3,13,17,16,15,1
1,20,0,1,0,0,2,2,0,0,0,1,1,1,1,0,3,1,1,2,2,1,19,5,7,6,0
0,18,0,1,1,4,2,1,0,1,1,1,1,1,0,0,4,2,3,5,5,4,27,15,15,12,1
0,19,1,1,0,2,2,4,0,0,1,0,1,1,1,0,4,2,5,5,1,3,12,6,19,13,1
0,21,0,0,0,1,2,3,0,1,1,1,1,1,1,1,4,5,1,3,5,5,2,17,7,12,1
1,15,1,0,0,2,1,4,1,0,1,0,1,1,1,1,5,4,3,1,3,2,25,5,18,8,0
0,20,1,0,0,1,3,4,0,1,1,1,0,0,1,0,3,5,4,4,3,1,25,14,6,9,0
1,20,0,1,0,2,4,3,0,1,0,0,0,1,0,0,1,3,5,1,3,3,17,16,17,15,1
0,20,1,1,0,1,2,1,0,0,1,1,0,1,1,1,1,2,4,5,3,3,13,7,8,6,0
0,18,1,1,0,3,2,4,0,1,0,0,0,0,1,1,5,3,1,3,2,1,14,15,14,13,1
0,19,1,0,0,1,2,4,3,1,0,1,1,1,1,0,1,5,5,2,3,5,2,9,7,3,0
0,18,1,1,1,1,3,2,0,0,1,0,1,1,1,0,4,4,3,1,3,5,0,5,16,10,1
0,16,0,0,1,0,0,4,0,0,1,1,1,1,1,1,3,5,1,5,2,4,25,8,6,4,0
0,16,0,0,0,1,0,3,0,1,0,0,0,1,1,1,1,4,5,4,3,5,23,18,5,13,1
0,19,0,1,1,0,1,2,3,0,1,0,1,1,0,0,1,4,5,3,5,4,16,17,7,8,0
0,21,0,1,0,4,0,1,0,0,0,0,0,1,1,1,2,1,4,2,5,3,2,12,14,12,1
1,18,1,0,0,0,2,2,0,1,1,1,1,0,1,1,2,2,1,1,4,1,13,10,10,9,0
1,15,1,1,1,3,2,3,1,1,1,1,1,1,1,0,2,5,3,4,5,5,2,17,13,14,1
0,20,0,0,0,0,2,3,1,0,1,1,1,1,0,0,3,4,3,2,1,4,12,5,15,7,0
0,20,0,1,0,4,1,2,0,0,0,0,1,1,1,0,4,5,1,5,1,3,14,16,9,11,1
0,19,0,1,0,3,2,1,0,0,1,1,0,1,1,1,4,5,1,5,1,5,17,5,19,11,1
1,21,1,0,0,2,0,2,0,1,0,0,0,0,1,0,4,4,2,4,2,2,13,7,7,8,0
0,16,0,1,1,2,3,1,0,1,1,1,1,1,1,1,3,3,4,5,5,3,20,18,18,15,1
1,16,0,0,0,0,3,2,0,1,0,1,0,1,1,0,3,2,1,3,1,5,25,14,9,11,1
1,20,0,1,0,0,4,3,0,1,1,1,1,0,1,0,2,2,1,4,4,3,2,19,9,12,1
1,19,1,0,0,4,0,4,0,1,0,1,1,1,1,1,1,1,2,5,2,1,18,12,9,11,1
1,18,1,0,1,4,2,4,0,1,0,0,1,1,1,1,5,1,2,1,4,1,7,15,16,14,1
